Model,Archietecture ,fold,epoch,train_loss,val_loss,val_accuracy,val_f1,val_auc,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",2,20,0.4921,0.6474,0.677,0.6881,0.7254,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,1,0.6898,0.6845,0.5323,0.6938,0.6447,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,2,0.6828,0.6828,0.5597,0.3918,0.65,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,3,0.6758,0.6802,0.5448,0.6945,0.655,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,4,0.6543,0.6674,0.592,0.6906,0.6558,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,5,0.6726,0.6709,0.597,0.5031,0.6616,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,6,0.6558,0.667,0.5896,0.6927,0.6663,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,7,0.6293,0.6538,0.6119,0.688,0.6705,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,8,0.629,0.6622,0.5846,0.6969,0.6818,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,9,0.6248,0.7101,0.5348,0.289,0.6719,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,10,0.6002,0.6613,0.6169,0.7027,0.6841,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,11,0.5797,0.6537,0.6269,0.7047,0.6869,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,12,0.5617,0.6701,0.6343,0.7221,0.6925,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,13,0.5461,0.6362,0.6493,0.6981,0.7007,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,14,0.5279,0.7137,0.6269,0.7302,0.7018,
ResNet50,"{'num_encoders': 2, 'adapter': True, 'adapter_type': 'nlp', 'lr': 5e-5, 'batch_size': 16},",3,15,0.518,0.6401,0.6517,0.7143,0.7116,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,1,0.6957,0.6909,0.4701,0,0.6358,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,2,0.6866,0.6788,0.597,0.6824,0.6429,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,3,0.6819,0.685,0.5423,0.6984,0.6578,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,4,0.6747,0.684,0.5597,0.7035,0.6569,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,1,0.6882,0.6662,0.5796,0.5587,0.6355,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,2,0.6327,0.658,0.607,0.6409,0.6482,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,3,0.6027,0.6576,0.6244,0.6753,0.659,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,4,0.5607,0.6542,0.6144,0.591,0.6636,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,5,0.5415,0.6538,0.6244,0.656,0.6796,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,6,0.465,0.6725,0.6269,0.6849,0.6883,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,7,0.434,0.6398,0.6542,0.6958,0.704,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,8,0.4012,0.6757,0.6517,0.7119,0.7019,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,9,0.35,0.6706,0.6368,0.692,0.7136,
efficientnet_b0,"{ 'num_encoders': 4, 'adapter': False, 'adapter_type': None, 'lr': 2e-4, 'batch_size': 16}",3,10,0.3413,0.784,0.6095,0.4642,0.7374,
